* Texas Instruments Data Flash File
* File created Mon Mar 16 16:24:37 2015
*
* Device Number 2610
* Firmware Version 0.16
* Build Number 20
* Order Number 0
*
* bqz Device Number 2610
* bqz Firmware Version 0.16
* bqz Build Number 20
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Units
Calibration,Voltage,Cell Gain,12101,-
Calibration,Voltage,Pack Gain,49669,-
Calibration,Voltage,BAT Gain,48936,-
Calibration,Current,CC Gain,1.036,mOhm
Calibration,Current,Capacity Gain,1.036,mOhm
Calibration,Current Offset,CC Offset,0,-
Calibration,Current Offset,Coulomb Counter Offset Samples,64,-
Calibration,Current Offset,Board Offset,0,-
Calibration,Current Offset,CC Auto Config,03,hex
Calibration,Current Offset,CC Auto Offset,0,-
Calibration,Temperature,Internal Temp Offset,0,degC
Calibration,Temperature,External1 Temp Offset,0,degC
Calibration,Internal Temp Model,Int Gain,-12143,-
Calibration,Internal Temp Model,Int base offset,6232,-
Calibration,Internal Temp Model,Int Minimum AD,0,-
Calibration,Internal Temp Model,Int Maximum Temp,6232,0.1degK
Calibration,Cell Temperature Model,Coeff a1,-11130,-
Calibration,Cell Temperature Model,Coeff a2,19142,-
Calibration,Cell Temperature Model,Coeff a3,-19262,-
Calibration,Cell Temperature Model,Coeff a4,28203,-
Calibration,Cell Temperature Model,Coeff a5,892,-
Calibration,Cell Temperature Model,Coeff b1,328,-
Calibration,Cell Temperature Model,Coeff b2,-605,-
Calibration,Cell Temperature Model,Coeff b3,-2443,-
Calibration,Cell Temperature Model,Coeff b4,4696,-
Calibration,Cell Temperature Model,Rc0,11703,-
Calibration,Cell Temperature Model,Adc0,11703,-
Calibration,Cell Temperature Model,Rpad,0,-
Calibration,Cell Temperature Model,Rint,0,-
Calibration,Current Deadband,Deadband,3,mA
Calibration,Current Deadband,Coulomb Counter Deadband,9,116nV
Settings,Protection,Protection Configuration,00,hex
Settings,Protection,Enabled Protections A,57,hex
Settings,Protection,Enabled Protections B,35,hex
Settings,Protection,Enabled Protections C,3c,hex
Settings,Protection,Enabled Protections D,0c,hex
Settings,Permanent Failure,Enabled PF A,00,hex
Settings,Configuration,Charging Configuration,00,hex
Settings,Configuration,Temperature Enable,03,hex
Settings,Configuration,DA Configuration,11,hex
Settings,Configuration,FET Options,60,hex
Settings,Configuration,I2C Gauging Configuration,07,hex
Settings,Configuration,I2C Configuration,00,hex
Settings,Configuration,Power Config,00,hex
Settings,Configuration,SOC Flag Config A,0c8c,hex
